Supplier,Tier,Vendor_Financial_Health,Third_Party_Access_Control,Incident_Response_Readiness,Vulnerability_Management,Delivery_SLA_Performance,Compliance_Certification,Network_Security_Posture,Data_Privacy_Compliance,Risk_Score,Risk_Level,Weighted_Vendor_Financial_Health,Weighted_Third_Party_Access_Control,Weighted_Incident_Response_Readiness,Weighted_Vulnerability_Management,Weighted_Delivery_SLA_Performance,Weighted_Compliance_Certification,Weighted_Network_Security_Posture,Weighted_Data_Privacy_Compliance
AlphaCore Systems,Tier 1,8,7,6,8,7,9,7,8,7.5,High,1.2,1.05,0.6,1.2,0.7,0.9,1.05,0.8
BetaNet Solutions,Tier 1,4,8,3,5,6,4,6,3,5.05,Medium,0.6,1.2,0.3,0.75,0.6,0.4,0.9,0.3
CoreVault Inc,Tier 1,7,6,9,7,8,8,8,9,7.6000000000000005,Critical,1.05,0.9,0.9,1.05,0.8,0.8,1.2,0.9
DataShield Ltd,Tier 1,3,7,4,2,5,3,4,4,4.0,Medium,0.45,1.05,0.4,0.3,0.5,0.3,0.6,0.4
EdgeTech Global,Tier 1,6,4,7,6,3,8,5,7,5.65,High,0.9,0.6,0.7,0.9,0.3,0.8,0.75,0.7
FlexData Corp,Tier 2,7,6,8,7,6,7,8,6,6.9,High,1.05,0.9,0.8,1.05,0.6,0.7,1.2,0.6
GridSecure Co,Tier 2,5,8,3,5,7,4,6,5,5.5,Medium,0.75,1.2,0.3,0.75,0.7,0.4,0.9,0.5
HorizonIT Ltd,Tier 2,8,5,7,8,8,9,7,8,7.3999999999999995,High,1.2,0.75,0.7,1.2,0.8,0.9,1.05,0.8
InfraGuard Inc,Tier 2,4,7,5,3,5,3,5,4,4.55,Medium,0.6,1.05,0.5,0.45,0.5,0.3,0.75,0.4
JetLink Systems,Tier 2,6,4,6,6,4,7,6,5,5.5,Medium,0.9,0.6,0.6,0.9,0.4,0.7,0.9,0.5
KeyNet Solutions,Tier 3,5,5,4,6,7,5,4,6,5.199999999999999,Medium,0.75,0.75,0.4,0.9,0.7,0.5,0.6,0.6
LogiSafe Corp,Tier 3,7,6,5,4,5,6,7,4,5.6000000000000005,High,1.05,0.9,0.5,0.6,0.5,0.6,1.05,0.4
MetroData Ltd,Tier 3,3,7,6,5,6,4,5,7,5.3,Medium,0.45,1.05,0.6,0.75,0.6,0.4,0.75,0.7
NexusIT Group,Tier 3,6,3,4,7,4,8,6,3,5.2,Medium,0.9,0.45,0.4,1.05,0.4,0.8,0.9,0.3
OmniCloud Inc,Tier 3,4,6,7,3,8,3,4,6,4.949999999999999,Medium,0.6,0.9,0.7,0.45,0.8,0.3,0.6,0.6
